transaction_id,amount,transaction_type,merchant_category,customer_age,customer_tenure_months,transactions_last_24h,device_type,location_match,international_transaction,is_fraud
T100000,56.31,Card,Electronics,25,42,17,iOS,1,0,0
T100001,361.21,Card,Food,60,38,14,Web,1,0,0
T100002,158.01,UPI,Utility,29,82,19,iOS,1,0,0
T100003,109.55,NEFT,Retail,18,45,22,iOS,0,0,0
T100004,20.35,Card,Utility,74,35,24,Android,1,0,0
T100005,20.35,UPI,Retail,71,30,13,iOS,1,0,0
T100006,7.18,IMPS,Travel,37,88,12,Android,1,0,0
T100007,241.35,NEFT,Retail,45,106,6,Android,0,0,0
T100008,110.29,IMPS,Electronics,74,30,21,Android,1,0,0
T100009,147.75,Card,Food,60,78,4,Android,1,0,0
T100010,2.5,Card,Travel,54,6,19,Android,1,0,0
T100011,420.43,UPI,Retail,64,67,16,Android,1,0,0
T100012,214.37,IMPS,Utility,54,80,13,Android,1,0,1
T100013,28.64,NEFT,Travel,29,7,4,Web,1,0,0
T100014,24.08,UPI,Travel,54,52,23,Android,1,0,0
T100015,24.31,UPI,Retail,66,14,17,Android,1,1,1
T100016,43.53,UPI,Travel,66,73,23,Android,1,0,0
T100017,89.27,NEFT,Utility,73,15,1,iOS,1,0,0
T100018,67.86,IMPS,Travel,61,21,18,Android,1,0,1
T100019,41.31,UPI,Utility,73,35,20,Android,1,0,0
T100020,113.56,Card,Retail,45,66,17,Android,1,0,0
T100021,18.03,UPI,Food,64,91,15,Android,1,1,1
T100022,41.46,IMPS,Travel,32,2,11,Android,1,0,0
T100023,54.75,NEFT,Food,23,35,22,Android,0,0,0
T100024,73.07,NEFT,Utility,61,82,13,Android,1,0,1
T100025,184.55,Card,Travel,37,78,1,Android,1,0,0
T100026,26.73,UPI,Electronics,67,20,17,Android,1,0,0
T100027,86.64,UPI,Food,31,82,6,Web,1,0,0
T100028,107.7,UPI,Travel,19,10,4,iOS,1,1,0
T100029,5.71,NEFT,Food,26,25,20,Android,1,0,0
T100030,112.24,NEFT,Travel,54,66,16,Android,1,0,0
T100031,22.44,IMPS,Retail,37,25,15,Web,1,0,0
T100032,8.07,IMPS,Food,43,54,15,Android,1,0,0
T100033,356.84,Card,Electronics,46,33,6,Android,1,0,0
T100034,404.48,NEFT,Electronics,18,36,15,iOS,1,0,1
T100035,198.28,IMPS,Utility,72,95,14,Android,1,0,1
T100036,43.59,NEFT,Travel,52,14,11,Android,1,0,0
T100037,12.33,UPI,Food,23,65,7,Android,1,0,0
T100038,138.33,Card,Utility,54,110,9,Web,1,0,0
T100039,69.61,UPI,Food,70,80,16,Android,1,0,0
T100040,15.62,IMPS,Travel,22,54,5,iOS,1,0,0
T100041,82.03,Card,Electronics,50,110,20,Web,1,0,0
T100042,4.2,UPI,Retail,66,52,10,Android,1,0,0
T100043,288.05,Card,Electronics,68,3,18,Android,1,0,0
T100044,35.93,Card,Utility,31,99,3,Android,0,0,0
T100045,130.35,UPI,Retail,29,41,13,Android,0,0,0
T100046,44.83,UPI,Utility,59,6,11,Android,1,0,0
T100047,88.09,Card,Travel,37,25,17,Web,1,0,0
T100048,94.95,Card,Retail,70,13,22,iOS,1,0,0
T100049,24.53,NEFT,Utility,67,117,13,iOS,1,0,0
T100050,419.14,Card,Travel,41,98,6,Android,1,0,0
T100051,179.07,NEFT,Electronics,60,8,17,Web,1,0,0
